date, all, locate, load, dump, split, getyomi, other, comment
2011/10/29 22:13, 138.71, 1.49, 3.18, 1.28, 90.86, 38.84, 0.09, 
2011/10/30 11:31, 114.80, 4.07, 6.66, 2.89, 14.84, 81.06, 0.05, lazy creation
2011/10/31 20:53, 28.19, 1.75, 3.19, 1.46, 6.17, 14.51, 0.00, IndexOf use hint
2011/10/31 21:30, 25.01, 3.00, 5.50, 1.74, 11.75, 1.83, 0.00, GetRawContent: use decoded content
2011/10/31 23:18, 27.65, 3.43, 3.88, 2.26, 14.07, 1.61, 0.00, dirty flag, no change, why?
2011/11/01 13:24, 25.78, 3.34, 6.37, 2.82, 9.55, 1.55, 0.00, di cache
2011/11/03 11:50, 24.07, 4.35, 5.11, 3.80, 6.75, 2.21, 0.00,  split cache
2011/11/05 22:07, 25.48, 3.63, 7.84, 2.56, 7.91, 1.32, 0.00, split cache
2011/11/08 00:25, 15.09, 1.58, 3.01, 3.52, 3.72, 2.19, 0.03, new directory info cache
2011/11/08 12:36, 13.46, 1.67, 3.15, 3.26, 2.32, 1.83, 0.03, root filecount fixed.
